Fuel Type Code,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,CA,,7,,34.040539,-118.271387
ELEC,CA,,3,,34.06872,-118.064
ELEC,CA,,1,,32.89947,-117.243
ELEC,CA,,2,,34.221665,-118.468371
ELEC,CA,,4,,33.909914,-117.459053
ELEC,CA,,16,,34.14762,-118.147111
ELEC,CA,,2,,34.145138,-118.152655
ELEC,CA,,3,,34.145119,-118.150133
ELEC,CA,,,,34.118433,-118.149597
ELEC,CA,,1,,33.7637,-118.192
ELEC,CA,,20,,33.94325,-118.403342
ELEC,CA,,5,,34.2387162,-118.554686
ELEC,CA,,1,,34.07122,-117.575
ELEC,CA,,1,,34.228315,-119.170865
ELEC,CA,,2,,33.824004,-116.543589
ELEC,CA,,3,,34.0189,-117.38
ELEC,CA,,4,,38.69005,-121.58889
ELEC,CA,,2,,34.017081,-118.44704
ELEC,CA,,3,,34.010021,-118.49583
ELEC,CA,,2,,34.1564065,-118.4389655
ELEC,CA,1,,,34.138717,-118.35904
ELEC,CA,,4,,33.94756,-118.153806
ELEC,CA,,1,,37.80619,-122.4152
ELEC,CA,,4,,38.599693,-121.427045
ELEC,CA,,,,37.784912,-122.430237
ELEC,CA,,2,,37.78881,-122.401
ELEC,CA,,1,,37.791791,-122.411265
ELEC,CA,,2,,34.248959,-118.523887
ELEC,CA,,2,,34.241687,-118.528543
ELEC,CA,,4,,34.236853,-118.532588
ELEC,CA,,4,,33.740758,-118.28192
ELEC,CA,12,15,,34.077588,-118.474585
ELEC,CA,,3,,34.145528,-118.050548
ELEC,CA,,3,,34.13556,-117.864
ELEC,CA,,2,,33.9826,-118.3966
ELEC,CA,,6,,34.029971,-118.385231
ELEC,CA,,6,,33.777054,-117.870566
ELEC,CA,,5,,34.16657602,-119.0458547
ELEC,CA,,4,,33.919899,-117.898618
ELEC,CA,4,2,,34.192178,-118.934793
ELEC,CA,,1,,34.418322,-119.3368
ELEC,CA,,2,,34.105275,-117.809208
ELEC,CA,,4,,34.147709,-118.136621
ELEC,CA,,3,,34.267352,-119.2124
ELEC,CA,,3,,34.268756,-119.2154
ELEC,CA,,2,,34.268,-119.2492
ELEC,CA,1,3,,38.539336,-121.732405
ELEC,CA,,2,,38.66292,-121.2634
ELEC,CA,1,2,,38.57277,-121.467902
ELEC,CA,,1,,38.7042,-121.365
ELEC,CA,,2,,38.552483,-121.4487
ELEC,CA,,2,,38.524403,-121.5112
ELEC,CA,,2,,38.73323,-120.78962
ELEC,CA,,1,,38.356027,-121.9628
ELEC,CA,,4,,38.36557,-121.967
ELEC,CA,,2,,38.35172,-121.987
ELEC,CA,,2,,38.356907,-122.001886
ELEC,CA,,1,,38.355867,-121.9862
ELEC,CA,,7,,38.351758,-121.994475
ELEC,CA,,4,,38.682605,-121.297614
ELEC,CA,1,,,38.457369,-121.842567
ELEC,CA,,3,,38.72799,-120.828
ELEC,CA,,2,,38.6476,-121.067
ELEC,CA,,1,,38.74453,-121.17
ELEC,CA,,1,,38.618066,-121.334337
ELEC,VT,2,,,44.469281,-73.154972
ELEC,CA,,1,,38.15485,-121.69
ELEC,CA,,2,,38.25281,-122.044229
ELEC,CA,,3,,38.23723,-122.123
ELEC,CA,,,,38.105062,-122.265895
ELEC,CA,,20,,33.944761,-118.399767
ELEC,VT,,6,,44.469281,-73.154972
ELEC,WA,,4,,47.044011,-122.822404
ELEC,OR,2,2,,45.508396,-122.664667
ELEC,CA,,1,,39.15,-123.2091
ELEC,CA,1,1,,38.368755,-121.961192
ELEC,CA,,2,,38.54643,-121.7388
ELEC,CA,,2,,38.5443,-121.738
ELEC,CA,3,7,,38.544538,-121.749713
ELEC,CA,,1,,38.55755,-121.6947
ELEC,CA,,2,,38.569412,-121.721373
ELEC,CA,,2,,33.84788,-118.13889
ELEC,CA,,1,,37.94495,-122.5096
ELEC,CA,,4,,37.7136,-122.2087
ELEC,WA,,68,,47.443377,-122.296229
ELEC,ID,,2,,43.608009,-116.197968
ELEC,OR,2,,,44.99574,-123.019758
ELEC,CA,,2,,38.2482,-122.0678
ELEC,FL,,2,,28.535975,-81.379663
ELEC,WI,,2,,43.083979,-89.363091
ELEC,OR,,2,,44.586123,-123.115389
ELEC,CA,,2,,35.249929,-120.689683
ELEC,CA,,4,,35.25982,-120.676
ELEC,WA,1,2,,47.673347,-117.388933
ELEC,WA,,6,,47.65579218,-117.4236637
ELEC,IA,,1,,41.615759,-93.57875
ELEC,IA,,1,,41.682385,-93.698315
ELEC,NJ,,2,,40.286518,-74.807516
ELEC,OR,10,10,,44.009797,-123.033213
ELEC,TX,,2,,29.756604,-95.372854
ELEC,NY,1,,,42.97167,-73.774182
ELEC,SC,,2,,34.950136,-81.93279
ELEC,SC,,2,,34.951926,-81.931714
ELEC,SC,,2,,34.715982,-81.624616
ELEC,CT,,2,,41.305794,-72.927405
ELEC,CT,2,4,,41.355486,-72.093784
ELEC,CT,1,1,,41.119291,-73.369266
ELEC,CT,1,1,,41.951328,-72.663078
ELEC,WI,,2,,43.091229,-89.52884
ELEC,OH,,1,,41.503373,-81.639054
ELEC,WV,,2,,38.417603,-82.456866
ELEC,FL,,2,,28.429015,-81.458938
ELEC,MO,,1,,38.694036,-90.4218
ELEC,OR,,2,,45.522609,-122.988535
ELEC,OR,,2,,45.520533,-122.978089
ELEC,OR,,1,,45.509326,-122.666392
ELEC,UT,,4,,40.74686,-111.876
ELEC,KS,,2,,38.92591,-94.72819
ELEC,FL,,3,,26.465314,-80.07219
ELEC,WA,,2,,47.545324,-122.0195
ELEC,MA,,2,,42.349249,-71.041557
ELEC,SC,,8,,34.00741493,-81.0348006
ELEC,SC,,2,,34.003323,-81.035693
ELEC,SC,,2,,34.008409,-81.041802
ELEC,SC,,2,,34.002255,-81.040219
ELEC,SC,,2,,34.84709,-82.387269
ELEC,SC,,4,,34.849724,-82.400667
ELEC,SC,,2,,34.849889,-82.397797
ELEC,SC,,2,,34.852754,-82.393113
ELEC,SC,,2,,33.997786,-81.036161
ELEC,SC,,2,,34.852789,-82.396195
ELEC,SC,,2,,34.85335,-82.394826
ELEC,SC,,2,1,34.852437,-82.399901
ELEC,SC,,2,,34.925782,-81.028444
ELEC,SC,,2,,34.954788,-81.013242
ELEC,SC,,2,,34.716556,-81.648482
ELEC,SC,,6,,34.77993955,-81.45735907
ELEC,CA,,3,,34.019875,-118.49151
ELEC,CA,,5,,37.806798,-122.419488
ELEC,CA,,12,2,34.010528,-118.4898
ELEC,CO,18,9,1,39.843886,-104.771138
ELEC,CO,,2,,39.953798,-105.166116
ELEC,MA,1,4,,42.372442,-71.122882
ELEC,IN,,2,,41.492057,-87.522819
ELEC,MI,,1,,42.962078,-85.659019
ELEC,IL,,2,,40.507796,-88.982897
ELEC,IL,,3,,40.511172,-88.984985
ELEC,WA,,2,,47.761878,-122.191915
ELEC,WA,,2,,47.679224,-122.12995
ELEC,WA,,2,,47.672359,-122.099034
ELEC,WA,,2,,47.734211,-122.147041
ELEC,WI,,1,,43.011411,-89.459112
ELEC,WI,,1,,43.096636,-89.500008
ELEC,NC,,2,,35.778416,-78.64347
ELEC,NC,,1,,35.77435,-78.642287
ELEC,TX,,2,1,30.20633,-97.75936
ELEC,CA,,1,,39.1458,-123.198497
ELEC,VA,,1,,36.910575,-80.31736
ELEC,VA,,4,,37.551409,-77.45233
ELEC,TN,,1,,36.010279,-84.268049
ELEC,TN,,1,,35.558371,-86.448276
ELEC,TX,,1,,32.408909,-99.771463
ELEC,TX,,2,,35.159354,-101.938937
