State,Year,Total Population
CA,2015,38421464
FL,2015,19645772
NY,2015,19673174
TX,2015,26538614
WA,2015,6985464
CA,2016,38654206
FL,2016,19934451
NY,2016,19697457
TX,2016,26956435
WA,2016,7073146
CA,2017,38982847
FL,2017,20278447
NY,2017,19798228
TX,2017,27419612
WA,2017,7169967
CA,2018,39148760
FL,2018,20598139
NY,2018,19618453
TX,2018,27885195
WA,2018,7294336
CA,2019,39283497
FL,2019,20901636
NY,2019,19572319
TX,2019,28260856
WA,2019,7404107
CA,2020,39346023
FL,2020,21216924
NY,2020,19514849
TX,2020,28635442
WA,2020,7512465
CA,2021,39455353
FL,2021,21339762
NY,2021,20114745
TX,2021,28862581
WA,2021,7617364
CA,2022,39356104
FL,2022,21634529
NY,2022,19994379
TX,2022,29243342
WA,2022,7688549
